,time,low,high,open,close,volume,date
0,17:05:00,3817.43,3831.44,3820.83,3827.81,38.47265906,01_01_2019
1,17:10:00,3816.02,3827.81,3827.81,3816.02,31.64318556,01_01_2019
2,17:15:00,3816.01,3818.41,3817.38,3817.01,18.06974274,01_01_2019
3,17:20:00,3807.66,3817.01,3817.01,3807.66,97.04076906,01_01_2019
4,17:25:00,3790.6,3810.0,3808.99,3808.05,83.697953,01_01_2019
5,17:30:00,3804.19,3808.05,3808.04,3804.2,20.30880534,01_01_2019
6,17:35:00,3791.7,3804.84,3804.2,3795.4,56.6151307,01_01_2019
7,17:40:00,3790.68,3805.0,3796.05,3802.09,126.57966674,01_01_2019
8,17:45:00,3798.54,3806.55,3802.08,3806.31,20.32813313,01_01_2019
9,17:50:00,3800.0,3806.3,3806.3,3800.02,19.62441544,01_01_2019
10,17:55:00,3800.01,3805.91,3800.02,3801.9,15.3074413,01_01_2019
11,18:00:00,3801.89,3806.0,3801.9,3806.0,33.81048349,01_01_2019
12,18:05:00,3805.99,3806.0,3805.99,3806.0,11.3031257,01_01_2019
13,18:10:00,3795.93,3806.0,3806.0,3797.61,37.27406996,01_01_2019
14,18:15:00,3795.82,3797.23,3797.23,3796.3,39.73665177,01_01_2019
15,18:20:00,3796.2,3798.32,3796.3,3797.68,21.18529289,01_01_2019
16,18:25:00,3797.67,3804.23,3797.68,3801.45,26.61052611,01_01_2019
17,18:30:00,3801.44,3801.45,3801.45,3801.45,16.72726477,01_01_2019
18,18:35:00,3800.17,3804.41,3801.44,3804.41,33.161697,01_01_2019
19,18:40:00,3800.13,3804.42,3804.4,3802.94,32.24734439,01_01_2019
20,18:45:00,3799.19,3803.25,3802.94,3801.54,21.51007614,01_01_2019
21,18:50:00,3797.36,3801.54,3801.54,3799.88,9.70612424,01_01_2019
22,18:55:00,3790.85,3799.98,3799.0,3793.0,12.4177761,01_01_2019
23,19:00:00,3792.99,3798.04,3793.0,3796.66,14.44821273,01_01_2019
24,19:05:00,3795.0,3796.64,3795.62,3795.01,17.49249167,01_01_2019
25,19:10:00,3791.95,3795.01,3795.01,3794.08,38.56244055,01_01_2019
26,19:15:00,3794.07,3794.08,3794.08,3794.08,7.10121234,01_01_2019
27,19:20:00,3794.07,3803.0,3794.08,3803.0,32.96840138,01_01_2019
28,19:25:00,3799.94,3803.0,3803.0,3803.0,15.82150919,01_01_2019
29,19:30:00,3801.5,3803.0,3803.0,3803.0,24.23917077,01_01_2019
30,19:35:00,3802.99,3804.0,3802.99,3803.41,10.37316561,01_01_2019
31,19:40:00,3803.03,3806.0,3803.41,3803.66,23.89481771,01_01_2019
32,19:45:00,3799.0,3803.66,3803.66,3799.97,23.51031804,01_01_2019
33,19:50:00,3798.0,3801.0,3799.97,3798.0,9.63378093,01_01_2019
34,19:55:00,3795.47,3801.0,3798.01,3801.0,28.97113625,01_01_2019
35,20:00:00,3800.3,3809.99,3801.0,3809.99,44.2260237,01_01_2019
36,20:05:00,3801.15,3809.99,3809.99,3801.7,29.60633733,01_01_2019
37,20:10:00,3799.75,3805.0,3801.7,3803.97,20.25601513,01_01_2019
38,20:15:00,3804.48,3807.6,3804.48,3807.0,19.77872792,01_01_2019
39,20:20:00,3806.81,3807.6,3807.0,3806.82,9.1593545,01_01_2019
40,20:25:00,3806.81,3807.0,3806.81,3807.0,12.01062179,01_01_2019
41,20:30:00,3804.95,3807.66,3807.0,3804.96,19.3090761,01_01_2019
42,20:35:00,3804.95,3804.96,3804.96,3804.96,7.91630618,01_01_2019
43,20:40:00,3801.36,3804.96,3804.96,3801.37,10.2073935,01_01_2019
44,20:45:00,3801.36,3801.37,3801.37,3801.37,34.50921569,01_01_2019
45,20:50:00,3801.36,3801.38,3801.36,3801.37,18.40439568,01_01_2019
46,20:55:00,3801.36,3801.37,3801.37,3801.37,7.31677498,01_01_2019
47,21:00:00,3796.75,3804.96,3801.36,3796.76,38.1493768,01_01_2019
48,21:05:00,3793.25,3798.88,3796.76,3798.16,17.79320096,01_01_2019
49,21:10:00,3794.13,3798.17,3798.17,3795.87,7.10828188,01_01_2019
50,21:15:00,3790.29,3795.87,3795.87,3791.88,12.11230151,01_01_2019
51,21:20:00,3791.87,3800.0,3791.87,3799.45,14.93966098,01_01_2019
52,21:25:00,3799.27,3799.45,3799.45,3799.28,24.14891759,01_01_2019
53,21:30:00,3796.5,3799.28,3799.28,3797.75,8.28667284,01_01_2019
54,21:35:00,3797.14,3800.0,3797.75,3798.65,18.55876309,01_01_2019
55,21:40:00,3797.13,3802.4,3798.65,3800.41,42.52843888,01_01_2019
56,21:45:00,3797.38,3800.41,3800.41,3800.4,7.03039609,01_01_2019
57,21:50:00,3800.4,3803.03,3800.41,3802.54,7.51255124,01_01_2019
58,21:55:00,3800.0,3802.57,3802.54,3800.01,16.12158672,01_01_2019
59,22:00:00,3799.21,3800.01,3800.01,3799.22,5.60384293,01_01_2019
